id,level,candidate,control,game,side,outcome,plies,reason
short-anchored50-base-0-black,short,anchored50,base,0,black,win,42,checkmate
short-anchored50-base-0-white,short,anchored50,base,0,white,loss,72,checkmate
short-anchored50-base-1-black,short,anchored50,base,1,black,unresolved,200,move-limit
short-anchored50-base-1-white,short,anchored50,base,1,white,win,83,checkmate
short-anchored50-base-10-black,short,anchored50,base,10,black,win,89,checkmate
short-anchored50-base-10-white,short,anchored50,base,10,white,win,44,checkmate
short-anchored50-base-11-black,short,anchored50,base,11,black,win,102,checkmate
short-anchored50-base-11-white,short,anchored50,base,11,white,loss,98,checkmate
short-anchored50-base-12-black,short,anchored50,base,12,black,win,54,checkmate
short-anchored50-base-12-white,short,anchored50,base,12,white,win,65,checkmate
short-anchored50-base-13-black,short,anchored50,base,13,black,loss,51,checkmate
short-anchored50-base-13-white,short,anchored50,base,13,white,win,41,checkmate
short-anchored50-base-14-black,short,anchored50,base,14,black,loss,111,checkmate
short-anchored50-base-14-white,short,anchored50,base,14,white,loss,134,checkmate
short-anchored50-base-15-black,short,anchored50,base,15,black,win,146,checkmate
short-anchored50-base-15-white,short,anchored50,base,15,white,loss,52,checkmate
short-anchored50-base-2-black,short,anchored50,base,2,black,win,48,checkmate
short-anchored50-base-2-white,short,anchored50,base,2,white,win,33,checkmate
short-anchored50-base-3-black,short,anchored50,base,3,black,win,66,checkmate
short-anchored50-base-3-white,short,anchored50,base,3,white,loss,94,checkmate
short-anchored50-base-4-black,short,anchored50,base,4,black,loss,105,checkmate
short-anchored50-base-4-white,short,anchored50,base,4,white,win,105,checkmate
short-anchored50-base-5-black,short,anchored50,base,5,black,win,96,checkmate
short-anchored50-base-5-white,short,anchored50,base,5,white,loss,124,checkmate
short-anchored50-base-6-black,short,anchored50,base,6,black,win,74,checkmate
short-anchored50-base-6-white,short,anchored50,base,6,white,loss,106,checkmate
short-anchored50-base-7-black,short,anchored50,base,7,black,loss,27,checkmate
short-anchored50-base-7-white,short,anchored50,base,7,white,win,27,checkmate
short-anchored50-base-8-black,short,anchored50,base,8,black,loss,79,checkmate
short-anchored50-base-8-white,short,anchored50,base,8,white,loss,118,checkmate
short-anchored50-base-9-black,short,anchored50,base,9,black,win,88,checkmate
short-anchored50-base-9-white,short,anchored50,base,9,white,win,165,checkmate
short-tempo40-base-0-black,short,tempo40,base,0,black,loss,99,checkmate
short-tempo40-base-0-white,short,tempo40,base,0,white,win,67,checkmate
short-tempo40-base-1-black,short,tempo40,base,1,black,unresolved,200,move-limit
short-tempo40-base-1-white,short,tempo40,base,1,white,win,139,checkmate
short-tempo40-base-10-black,short,tempo40,base,10,black,loss,106,checkmate
short-tempo40-base-10-white,short,tempo40,base,10,white,win,44,checkmate
short-tempo40-base-11-black,short,tempo40,base,11,black,win,102,checkmate
short-tempo40-base-11-white,short,tempo40,base,11,white,loss,158,checkmate
short-tempo40-base-12-black,short,tempo40,base,12,black,loss,51,checkmate
short-tempo40-base-12-white,short,tempo40,base,12,white,win,65,checkmate
short-tempo40-base-13-black,short,tempo40,base,13,black,loss,61,checkmate
short-tempo40-base-13-white,short,tempo40,base,13,white,win,45,checkmate
short-tempo40-base-14-black,short,tempo40,base,14,black,win,150,checkmate
short-tempo40-base-14-white,short,tempo40,base,14,white,win,97,checkmate
short-tempo40-base-15-black,short,tempo40,base,15,black,loss,45,checkmate
short-tempo40-base-15-white,short,tempo40,base,15,white,loss,52,checkmate
short-tempo40-base-2-black,short,tempo40,base,2,black,win,48,checkmate
short-tempo40-base-2-white,short,tempo40,base,2,white,win,83,checkmate
short-tempo40-base-3-black,short,tempo40,base,3,black,win,56,checkmate
short-tempo40-base-3-white,short,tempo40,base,3,white,loss,78,checkmate
short-tempo40-base-4-black,short,tempo40,base,4,black,loss,105,checkmate
short-tempo40-base-4-white,short,tempo40,base,4,white,win,89,checkmate
