id,game,ply,nodes,variant,move,teacher_gap_cp,depth,fallback,ordinary_cp
0,0,17,12000,base,5a4a,0,3,False,True
1,0,33,12000,base,2a4c,160,3,False,True
2,0,49,12000,base,P*4e,0,3,False,True
3,0,65,12000,base,N*7f,0,2,False,True
4,1,17,12000,base,8g8h+,0,3,False,True
5,1,33,12000,base,8c8b,229,2,False,True
6,1,49,12000,base,5a4a,742,1,False,True
7,1,65,12000,base,P*4f,0,1,False,True
8,2,17,12000,base,6c6d,0,3,False,True
9,2,33,12000,base,6c6d,102,2,False,True
10,2,49,12000,base,8i8h,437,2,False,True
11,2,65,12000,base,7i7h,0,2,False,True
12,3,17,12000,base,8b8f,0,3,False,True
13,3,33,12000,base,5a4a,286,2,False,True
14,3,49,12000,base,4d5f,365,2,False,True
15,3,64,12000,base,5c5b,0,2,False,True
16,4,19,12000,base,5a4a,79,4,False,True
17,4,35,12000,base,6d6e,0,3,False,True
18,4,51,12000,base,3e3f,0,2,False,True
19,4,67,12000,base,4b5c,434,2,False,True
20,5,19,12000,base,3b4c,0,4,False,True
21,5,35,12000,base,5c4d,110,3,False,True
22,5,51,12000,base,P*3d,0,3,False,True
23,5,67,12000,base,7c8e,0,3,False,True
24,6,19,12000,base,6b6c,0,4,False,True
25,6,35,12000,base,8a7c,0,4,False,True
26,6,51,12000,base,S*4i,483,1,False,True
27,6,67,12000,base,B*1c,232,1,False,True
28,7,19,12000,base,4d8h+,0,3,False,True
29,7,35,12000,base,8h7h,0,1,False,True
30,7,51,12000,base,6i3i,0,2,False,True
31,8,19,12000,base,8c8d,0,3,False,True
32,8,35,12000,base,B*4d,0,2,False,True
33,8,51,12000,base,P*7d,0,3,False,True
34,8,67,12000,base,1a1c,482,2,False,True
35,9,19,12000,base,7c7d,0,3,False,True
36,9,35,12000,base,6e6f,0,3,False,True
37,9,51,12000,base,P*6f,0,2,False,True
38,9,67,12000,base,7b6c,0,2,False,True
39,10,20,12000,base,7f7e,0,4,False,True
40,10,36,12000,base,6e6d,222,3,False,True
41,10,52,12000,base,B*8c,88,2,False,True
42,10,68,12000,base,6c7a+,0,2,False,True
43,11,19,12000,base,5a4b,235,4,False,True
44,11,35,12000,base,3c3d,0,3,False,True
45,11,51,12000,base,5b4c,0,3,False,True
46,11,67,12000,base,6e6f,221,3,False,True
47,12,19,12000,base,8d8e,120,3,False,True
48,12,35,12000,base,6f5e,164,2,False,True
49,12,51,12000,base,8f8g+,29419,2,False,False
50,12,67,12000,base,N*7e,256,1,False,True
51,13,19,12000,base,3a3b,101,3,False,True
52,13,35,12000,base,4c4b,0,3,False,True
53,13,51,12000,base,9i8i,0,2,False,True
54,13,67,12000,base,4f4g+,652,2,False,True
55,14,21,12000,base,6b7b,87,3,False,True
56,14,37,12000,base,P*5e,0,3,False,True
57,14,53,12000,base,2b3b,0,3,False,True
58,14,69,12000,base,2e3e,0,2,False,True
59,15,19,12000,base,7a6b,0,4,False,True
60,15,35,12000,base,4d4e,0,3,False,True
61,15,51,12000,base,7b7a,0,2,False,True
62,15,67,12000,base,9e9f,0,2,False,True
0,0,17,12000,anchored50,5a4a,0,3,False,True
1,0,33,12000,anchored50,2a4c,160,3,False,True
2,0,49,12000,anchored50,P*4e,0,3,False,True
3,0,65,12000,anchored50,N*7f,0,2,False,True
4,1,17,12000,anchored50,8g8h+,0,3,False,True
5,1,33,12000,anchored50,8c8b,229,2,False,True
6,1,49,12000,anchored50,5a4a,742,1,False,True
7,1,65,12000,anchored50,P*4f,0,1,False,True
8,2,17,12000,anchored50,6c6d,0,3,False,True
9,2,33,12000,anchored50,6c6d,102,2,False,True
10,2,49,12000,anchored50,8i8h,437,3,False,True
11,2,65,12000,anchored50,7i7h,0,2,False,True
12,3,17,12000,anchored50,8b8f,0,3,False,True
13,3,33,12000,anchored50,5a4a,286,2,False,True
14,3,49,12000,anchored50,4d5f,365,2,False,True
15,3,64,12000,anchored50,5c5b,0,2,False,True
16,4,19,12000,anchored50,6b5c,0,4,False,True
17,4,35,12000,anchored50,6d6e,0,3,False,True
18,4,51,12000,anchored50,3e3f,0,2,False,True
19,4,67,12000,anchored50,4b5c,434,2,False,True
20,5,19,12000,anchored50,3b4c,0,4,False,True
21,5,35,12000,anchored50,5c4d,110,3,False,True
22,5,51,12000,anchored50,P*3d,0,3,False,True
23,5,67,12000,anchored50,7c8e,0,3,False,True
24,6,19,12000,anchored50,6b6c,0,4,False,True
25,6,35,12000,anchored50,8a7c,0,4,False,True
26,6,51,12000,anchored50,S*4i,483,1,False,True
27,6,67,12000,anchored50,4h5g,0,2,False,True
28,7,19,12000,anchored50,4d8h+,0,4,False,True
29,7,35,12000,anchored50,8h7h,0,1,False,True
30,7,51,12000,anchored50,6i3i,0,2,False,True
31,8,19,12000,anchored50,8c8d,0,3,False,True
32,8,35,12000,anchored50,3a4b,157,2,False,True
33,8,51,12000,anchored50,P*7d,0,3,False,True
34,8,67,12000,anchored50,9f9g+,446,2,False,True
35,9,19,12000,anchored50,7c7d,0,3,False,True
36,9,35,12000,anchored50,6e6f,0,3,False,True
37,9,51,12000,anchored50,P*6f,0,2,False,True
38,9,67,12000,anchored50,7b6c,0,2,False,True
39,10,20,12000,anchored50,7f7e,0,4,False,True
40,10,36,12000,anchored50,6e6d,222,3,False,True
41,10,52,12000,anchored50,4f4e,0,3,False,True
42,10,68,12000,anchored50,6c7a+,0,2,False,True
43,11,19,12000,anchored50,5a4b,235,4,False,True
44,11,35,12000,anchored50,3c3d,0,3,False,True
45,11,51,12000,anchored50,5b4c,0,3,False,True
46,11,67,12000,anchored50,6e6f,221,3,False,True
47,12,19,12000,anchored50,7a6b,62,3,False,True
48,12,35,12000,anchored50,6f5e,164,2,False,True
49,12,51,12000,anchored50,8f8g+,29419,2,False,False
50,12,67,12000,anchored50,N*7e,256,1,False,True
51,13,19,12000,anchored50,3a3b,101,3,False,True
52,13,35,12000,anchored50,4c4b,0,3,False,True
53,13,51,12000,anchored50,9i8i,0,2,False,True
54,13,67,12000,anchored50,4f4g+,652,2,False,True
55,14,21,12000,anchored50,6b7b,87,4,False,True
56,14,37,12000,anchored50,P*5e,0,3,False,True
57,14,53,12000,anchored50,2b3b,0,3,False,True
58,14,69,12000,anchored50,2e3e,0,2,False,True
59,15,19,12000,anchored50,7a6b,0,4,False,True
60,15,35,12000,anchored50,4d4e,0,3,False,True
61,15,51,12000,anchored50,7b7a,0,2,False,True
62,15,67,12000,anchored50,9e9f,0,2,False,True
0,0,17,12000,tempo40,5a4a,0,3,False,True
1,0,33,12000,tempo40,2a4c,160,3,False,True
2,0,49,12000,tempo40,P*4e,0,3,False,True
3,0,65,12000,tempo40,N*7f,0,2,False,True
4,1,17,12000,tempo40,8g8h+,0,3,False,True
5,1,33,12000,tempo40,7c7d,168,3,False,True
6,1,49,12000,tempo40,5a4a,742,1,False,True
7,1,65,12000,tempo40,P*4f,0,1,False,True
8,2,17,12000,tempo40,6c6d,0,3,False,True
9,2,33,12000,tempo40,6c6d,102,2,False,True
10,2,49,12000,tempo40,8i8h,437,3,False,True
11,2,65,12000,tempo40,7i7h,0,2,False,True
12,3,17,12000,tempo40,8b8f,0,3,False,True
13,3,33,12000,tempo40,5a4a,286,2,False,True
14,3,49,12000,tempo40,4d5f,365,2,False,True
15,3,64,12000,tempo40,5c5b,0,2,False,True
16,4,19,12000,tempo40,6b5c,0,4,False,True
17,4,35,12000,tempo40,6d6e,0,3,False,True
18,4,51,12000,tempo40,3e3f,0,2,False,True
19,4,67,12000,tempo40,4b5c,434,2,False,True
20,5,19,12000,tempo40,3b4c,0,4,False,True
21,5,35,12000,tempo40,5c4d,110,3,False,True
22,5,51,12000,tempo40,P*3d,0,3,False,True
23,5,67,12000,tempo40,7c8e,0,3,False,True
24,6,19,12000,tempo40,6b6c,0,4,False,True
