id,nodes,candidate,control,opening,candidateSide,outcome,plies,reason
12000-pair-base-1-black,12000,pair,base,1,black,win,47,checkmate
12000-pair-base-1-white,12000,pair,base,1,white,win,80,checkmate
12000-pair-base-2-black,12000,pair,base,2,black,loss,46,checkmate
12000-pair-base-2-white,12000,pair,base,2,white,loss,35,checkmate
12000-pair-base-3-black,12000,pair,base,3,black,win,55,checkmate
12000-pair-base-3-white,12000,pair,base,3,white,win,86,checkmate
12000-pair-base-4-black,12000,pair,base,4,black,loss,93,checkmate
12000-pair-base-4-white,12000,pair,base,4,white,loss,38,checkmate
12000-pair-base-5-black,12000,pair,base,5,black,loss,153,checkmate
12000-pair-base-5-white,12000,pair,base,5,white,loss,84,checkmate
12000-pair-base-6-black,12000,pair,base,6,black,win,73,checkmate
12000-pair-base-6-white,12000,pair,base,6,white,win,38,checkmate
12000-pair-base-7-black,12000,pair,base,7,black,loss,109,checkmate
12000-pair-base-7-white,12000,pair,base,7,white,loss,92,checkmate
12000-pair-base-8-black,12000,pair,base,8,black,win,80,checkmate
12000-pair-base-8-white,12000,pair,base,8,white,loss,88,checkmate
12000-pair-affine-1-black,12000,pair,affine,1,black,loss,52,checkmate
12000-pair-affine-1-white,12000,pair,affine,1,white,win,52,checkmate
12000-pair-affine-2-black,12000,pair,affine,2,black,loss,46,checkmate
12000-pair-affine-2-white,12000,pair,affine,2,white,loss,35,checkmate
12000-pair-affine-3-black,12000,pair,affine,3,black,win,71,checkmate
12000-pair-affine-3-white,12000,pair,affine,3,white,loss,67,checkmate
12000-pair-affine-4-black,12000,pair,affine,4,black,loss,47,checkmate
12000-pair-affine-4-white,12000,pair,affine,4,white,loss,60,checkmate
12000-pair-affine-5-black,12000,pair,affine,5,black,loss,159,checkmate
12000-pair-affine-5-white,12000,pair,affine,5,white,win,51,checkmate
12000-pair-affine-6-black,12000,pair,affine,6,black,loss,82,checkmate
12000-pair-affine-6-white,12000,pair,affine,6,white,loss,87,checkmate
12000-pair-affine-7-black,12000,pair,affine,7,black,win,112,checkmate
12000-pair-affine-7-white,12000,pair,affine,7,white,win,115,checkmate
12000-pair-affine-8-black,12000,pair,affine,8,black,win,80,checkmate
12000-pair-affine-8-white,12000,pair,affine,8,white,loss,82,checkmate
48000-pair-base-1-black,48000,pair,base,1,black,win,97,checkmate
48000-pair-base-1-white,48000,pair,base,1,white,win,112,checkmate
48000-pair-base-2-black,48000,pair,base,2,black,loss,124,checkmate
48000-pair-base-2-white,48000,pair,base,2,white,loss,79,checkmate
48000-pair-base-3-black,48000,pair,base,3,black,win,79,checkmate
48000-pair-base-3-white,48000,pair,base,3,white,win,98,checkmate
48000-pair-base-4-black,48000,pair,base,4,black,win,28,checkmate
48000-pair-base-4-white,48000,pair,base,4,white,win,73,checkmate
48000-pair-base-5-black,48000,pair,base,5,black,win,76,checkmate
48000-pair-base-5-white,48000,pair,base,5,white,loss,78,checkmate
48000-pair-base-6-black,48000,pair,base,6,black,loss,86,checkmate
48000-pair-base-6-white,48000,pair,base,6,white,win,34,checkmate
48000-pair-base-7-black,48000,pair,base,7,black,loss,107,checkmate
48000-pair-base-7-white,48000,pair,base,7,white,loss,116,checkmate
48000-pair-base-8-black,48000,pair,base,8,black,win,94,checkmate
48000-pair-base-8-white,48000,pair,base,8,white,loss,108,checkmate
48000-pair-affine-1-black,48000,pair,affine,1,black,win,37,checkmate
48000-pair-affine-1-white,48000,pair,affine,1,white,loss,37,checkmate
48000-pair-affine-2-black,48000,pair,affine,2,black,loss,92,checkmate
48000-pair-affine-2-white,48000,pair,affine,2,white,loss,79,checkmate
48000-pair-affine-3-black,48000,pair,affine,3,black,loss,108,checkmate
48000-pair-affine-3-white,48000,pair,affine,3,white,win,72,checkmate
48000-pair-affine-4-black,48000,pair,affine,4,black,loss,69,checkmate
48000-pair-affine-4-white,48000,pair,affine,4,white,loss,28,checkmate
48000-pair-affine-5-black,48000,pair,affine,5,black,win,70,checkmate
48000-pair-affine-5-white,48000,pair,affine,5,white,loss,78,checkmate
48000-pair-affine-6-black,48000,pair,affine,6,black,loss,114,checkmate
48000-pair-affine-6-white,48000,pair,affine,6,white,win,34,checkmate
48000-pair-affine-7-black,48000,pair,affine,7,black,win,88,checkmate
48000-pair-affine-7-white,48000,pair,affine,7,white,loss,160,checkmate
48000-pair-affine-8-black,48000,pair,affine,8,black,win,126,checkmate
48000-pair-affine-8-white,48000,pair,affine,8,white,loss,78,checkmate
