id,game,nodes,variant,move,candidateGapCp,completedDepth,fallback
0,1,12000,base,3g4e,161,3,False
1,2,12000,base,4f4e,333,3,False
2,3,12000,base,7i8h,0,3,False
3,4,12000,base,6f5g+,179,3,False
4,5,12000,base,3a3b,0,3,False
5,6,12000,base,6f6e,0,4,False
6,7,12000,base,6c6d,0,3,False
7,8,12000,base,5a4b,129,3,False
8,9,12000,base,3i4h,873,3,False
9,10,12000,base,8h7g,0,3,False
10,11,12000,base,P*7d,0,3,False
11,12,12000,base,2h2i,0,3,False
12,13,12000,base,9g7i,0,3,False
13,14,12000,base,4d4e,0,4,False
14,15,12000,base,4g4f,0,3,False
15,16,12000,base,6f6e,0,3,False
16,17,12000,base,5c5d,0,2,False
17,18,12000,base,3c3d,0,3,False
18,19,12000,base,P*4e,307,3,False
19,20,12000,base,9g9f,68,3,False
20,22,12000,base,8h7g,0,3,False
21,23,12000,base,2i3g,0,3,False
0,1,12000,pair,P*3d,359,3,False
1,2,12000,pair,4f4e,333,3,False
2,3,12000,pair,7i8h,0,3,False
3,4,12000,pair,4e3g+,1669,2,False
4,5,12000,pair,3a3b,0,3,False
5,6,12000,pair,6f6e,0,4,False
6,7,12000,pair,7c7d,0,3,False
7,8,12000,pair,5a4b,129,3,False
8,9,12000,pair,2h8h,462,3,False
9,10,12000,pair,8h7g,0,3,False
10,11,12000,pair,P*7d,0,3,False
11,12,12000,pair,2h2i,0,3,False
12,13,12000,pair,9g7i,0,3,False
13,14,12000,pair,4d4e,0,4,False
14,15,12000,pair,4g4f,0,3,False
15,16,12000,pair,6f6e,0,3,False
16,17,12000,pair,5c5d,0,2,False
17,18,12000,pair,4a4b,250,3,False
18,19,12000,pair,P*4e,307,3,False
19,20,12000,pair,7g7f,0,3,False
20,22,12000,pair,8h7g,0,3,False
21,23,12000,pair,7g3c+,67,3,False
0,1,12000,affine,P*3d,359,3,False
1,2,12000,affine,4f4e,333,3,False
2,3,12000,affine,6g6f,0,3,False
3,4,12000,affine,6f5g+,179,3,False
4,5,12000,affine,3a3b,0,3,False
5,6,12000,affine,6f6e,0,4,False
6,7,12000,affine,6c6d,0,3,False
7,8,12000,affine,5a4b,129,3,False
8,9,12000,affine,3i4h,873,3,False
9,10,12000,affine,8h7g,0,3,False
10,11,12000,affine,P*7d,0,3,False
11,12,12000,affine,2h2i,0,3,False
12,13,12000,affine,9g7i,0,3,False
13,14,12000,affine,4d4e,0,4,False
14,15,12000,affine,4g4f,0,3,False
15,16,12000,affine,6f6e,0,3,False
16,17,12000,affine,5c5d,0,2,False
17,18,12000,affine,3c3d,0,3,False
18,19,12000,affine,P*4e,307,3,False
19,20,12000,affine,9g9f,68,3,False
20,22,12000,affine,8h7g,0,3,False
21,23,12000,affine,7g3c+,67,3,False
0,1,12000,anchored50,3g4e,161,3,False
1,2,12000,anchored50,3g3f,203,3,False
2,3,12000,anchored50,7i8h,0,3,False
3,4,12000,anchored50,6f5g+,179,3,False
4,5,12000,anchored50,3a3b,0,3,False
5,6,12000,anchored50,6f6e,0,4,False
6,7,12000,anchored50,6c6d,0,3,False
7,8,12000,anchored50,5a4b,129,3,False
8,9,12000,anchored50,3i4h,873,3,False
9,10,12000,anchored50,8h7g,0,3,False
10,11,12000,anchored50,P*7d,0,3,False
11,12,12000,anchored50,2h2i,0,3,False
12,13,12000,anchored50,9g7i,0,3,False
13,14,12000,anchored50,4d4e,0,4,False
14,15,12000,anchored50,4g4f,0,3,False
15,16,12000,anchored50,6f6e,0,3,False
16,17,12000,anchored50,5c5d,0,2,False
17,18,12000,anchored50,3c3d,0,3,False
18,19,12000,anchored50,P*4e,307,3,False
19,20,12000,anchored50,9g9f,68,3,False
20,22,12000,anchored50,8h7g,0,3,False
21,23,12000,anchored50,2i3g,0,3,False
0,1,12000,tempo40,3g4e,161,3,False
1,2,12000,tempo40,3g3f,203,3,False
