root,game,budget,variant,move,gap_cp,depth
0,0,12000,base,5i4h,0,3
0,0,12000,delta,5i4h,0,3
0,0,12000,direct,5i4h,0,3
0,0,12000,guarded,5i4h,0,3
0,0,12000,verified,5i4h,0,3
0,0,12000,efficient,5i4h,0,3
0,0,12000,efficient005,5i4h,0,3
0,0,12000,efficient0025,5i4h,0,3
1,1,12000,delta,8g8f,0,4
1,1,12000,direct,8g8f,0,3
1,1,12000,guarded,8g8f,0,3
1,1,12000,verified,8g8f,0,3
1,1,12000,efficient,8g8f,0,3
1,1,12000,efficient005,8g8f,0,3
1,1,12000,efficient0025,8g8f,0,3
1,1,12000,base,8g8f,0,3
2,2,12000,direct,3i4h,96,4
2,2,12000,guarded,3i4h,96,3
2,2,12000,verified,3i4h,96,3
2,2,12000,efficient,3i4h,96,3
2,2,12000,efficient005,3i4h,96,3
2,2,12000,efficient0025,3i4h,96,3
2,2,12000,base,3i4h,96,3
2,2,12000,delta,3i4h,96,4
3,3,12000,guarded,7g6h,0,4
3,3,12000,verified,7g6h,0,4
3,3,12000,efficient,7g6h,0,4
3,3,12000,efficient005,7g6h,0,4
3,3,12000,efficient0025,7g6h,0,4
3,3,12000,base,7g6h,0,4
3,3,12000,delta,7g6h,0,3
3,3,12000,direct,7g6h,0,4
4,4,12000,verified,P*5g,65,3
4,4,12000,efficient,P*5g,65,3
4,4,12000,efficient005,P*5g,65,3
4,4,12000,efficient0025,P*5g,65,3
4,4,12000,base,P*5g,65,3
4,4,12000,delta,P*5g,65,3
4,4,12000,direct,P*5g,65,3
4,4,12000,guarded,P*5g,65,3
5,5,12000,efficient,7h7e,0,3
5,5,12000,efficient005,7h7e,0,3
5,5,12000,efficient0025,7h7e,0,3
5,5,12000,base,7h7e,0,3
5,5,12000,delta,6i5h,324,4
5,5,12000,direct,7h7e,0,3
5,5,12000,guarded,7h7e,0,3
5,5,12000,verified,7h7e,0,3
6,6,12000,efficient005,7i7h,142,3
6,6,12000,efficient0025,7i7h,142,3
6,6,12000,base,7i7h,142,3
6,6,12000,delta,5i4h,0,3
6,6,12000,direct,5i4h,0,3
6,6,12000,guarded,7i7h,142,3
6,6,12000,verified,7i7h,142,3
6,6,12000,efficient,7i7h,142,3
7,7,12000,efficient0025,8h7g,0,3
7,7,12000,base,8h7g,0,3
7,7,12000,delta,8h7g,0,4
7,7,12000,direct,8h7g,0,4
7,7,12000,guarded,8h7g,0,4
7,7,12000,verified,8h7g,0,3
7,7,12000,efficient,8h7g,0,4
7,7,12000,efficient005,8h7g,0,4
8,8,12000,base,P*2c,0,3
8,8,12000,delta,P*2c,0,3
8,8,12000,direct,P*2c,0,3
8,8,12000,guarded,P*2c,0,3
8,8,12000,verified,P*2c,0,3
8,8,12000,efficient,P*2c,0,3
8,8,12000,efficient005,P*2c,0,3
8,8,12000,efficient0025,P*2c,0,3
9,9,12000,delta,4i5i,110,3
9,9,12000,direct,4i5i,110,3
9,9,12000,guarded,4i5i,110,3
9,9,12000,verified,4i5i,110,3
9,9,12000,efficient,4i5i,110,3
9,9,12000,efficient005,4i5i,110,3
9,9,12000,efficient0025,4i5i,110,3
9,9,12000,base,4i5i,110,3
10,10,12000,direct,7e7d,0,3
10,10,12000,guarded,7e7d,0,3
10,10,12000,verified,7e7d,0,3
10,10,12000,efficient,7e7d,0,3
10,10,12000,efficient005,7e7d,0,3
10,10,12000,efficient0025,7e7d,0,3
10,10,12000,base,7e7d,0,3
10,10,12000,delta,7e7d,0,3
11,11,12000,guarded,3i2h,0,4
11,11,12000,verified,3i2h,0,4
11,11,12000,efficient,3i2h,0,4
11,11,12000,efficient005,3i2h,0,4
11,11,12000,efficient0025,3i2h,0,4
11,11,12000,base,3i2h,0,4
11,11,12000,delta,3i2h,0,4
11,11,12000,direct,3i2h,0,4
12,12,12000,verified,7h6g,0,3
12,12,12000,efficient,7h6g,0,3
12,12,12000,efficient005,7h6g,0,3
12,12,12000,efficient0025,7h6g,0,3
12,12,12000,base,7h6g,0,3
12,12,12000,delta,2e2d,388,3
12,12,12000,direct,7h6g,0,3
12,12,12000,guarded,7h6g,0,3
13,13,12000,efficient,2h5h,15,2
13,13,12000,efficient005,2h5h,15,2
13,13,12000,efficient0025,2h5h,15,2
13,13,12000,base,2h5h,15,2
13,13,12000,delta,N*6h,0,2
13,13,12000,direct,2h5h,15,2
13,13,12000,guarded,2h5h,15,2
13,13,12000,verified,2h5h,15,2
14,14,12000,efficient005,7a6b,90,3
14,14,12000,efficient0025,7a6b,90,3
14,14,12000,base,7a6b,90,3
14,14,12000,delta,6d6e,0,3
14,14,12000,direct,7a6b,90,3
14,14,12000,guarded,7a6b,90,3
14,14,12000,verified,7a6b,90,3
14,14,12000,efficient,7a6b,90,3
15,15,12000,efficient0025,3c4d,1264,3
15,15,12000,base,3c4d,1264,3
15,15,12000,delta,3c4d,1264,4
15,15,12000,direct,3c4d,1264,3
15,15,12000,guarded,3c4d,1264,3
15,15,12000,verified,3c4d,1264,3
15,15,12000,efficient,3c4d,1264,3
15,15,12000,efficient005,3c4d,1264,3
16,16,12000,base,5e5d,0,3
16,16,12000,delta,5e5d,0,4
16,16,12000,direct,5e5d,0,3
16,16,12000,guarded,5e5d,0,3
16,16,12000,verified,5e5d,0,3
16,16,12000,efficient,5e5d,0,3
16,16,12000,efficient005,5e5d,0,3
16,16,12000,efficient0025,5e5d,0,3
17,17,12000,delta,2h2d,0,4
17,17,12000,direct,2h2d,0,3
17,17,12000,guarded,2h2d,0,3
17,17,12000,verified,2h2d,0,3
17,17,12000,efficient,2h2d,0,3
17,17,12000,efficient005,2h2d,0,3
17,17,12000,efficient0025,2h2d,0,3
17,17,12000,base,2h2d,0,3
18,18,12000,direct,3g3f,10,4
18,18,12000,guarded,3g3f,10,3
18,18,12000,verified,3g3f,10,3
18,18,12000,efficient,3g3f,10,3
18,18,12000,efficient005,3g3f,10,3
18,18,12000,efficient0025,3g3f,10,3
18,18,12000,base,3g3f,10,3
18,18,12000,delta,3g3f,10,4
19,19,12000,guarded,6b6c,31,3
19,19,12000,verified,6b6c,31,3
19,19,12000,efficient,6b6c,31,3
19,19,12000,efficient005,6b6c,31,3
19,19,12000,efficient0025,6b6c,31,3
19,19,12000,base,6b6c,31,3
19,19,12000,delta,6b6c,31,3
19,19,12000,direct,6b6c,31,3
20,20,12000,verified,5f8f,618,4
20,20,12000,efficient,5f8f,618,4
20,20,12000,efficient005,5f8f,618,4
20,20,12000,efficient0025,5f8f,618,4
20,20,12000,base,5f8f,618,4
20,20,12000,delta,5f8f,618,4
20,20,12000,direct,5f8f,618,4
20,20,12000,guarded,5f8f,618,4
21,21,12000,efficient,4c4d,127,3
21,21,12000,efficient005,4c4d,127,3
21,21,12000,efficient0025,4c4d,127,3
21,21,12000,base,4c4d,127,3
21,21,12000,delta,4c4d,127,3
21,21,12000,direct,4c4d,127,3
21,21,12000,guarded,4c4d,127,3
21,21,12000,verified,4c4d,127,3
22,22,12000,efficient005,3g3f,0,4
22,22,12000,efficient0025,3g3f,0,4
22,22,12000,base,3g3f,0,4
22,22,12000,delta,3g3f,0,4
22,22,12000,direct,3g3f,0,4
22,22,12000,guarded,3g3f,0,4
22,22,12000,verified,3g3f,0,4
22,22,12000,efficient,3g3f,0,4
23,23,12000,efficient0025,7c7d,0,3
23,23,12000,base,7c7d,0,3
23,23,12000,delta,7c7d,0,4
23,23,12000,direct,7c7d,0,3
23,23,12000,guarded,7c7d,0,3
23,23,12000,verified,7c7d,0,3
23,23,12000,efficient,7c7d,0,3
23,23,12000,efficient005,7c7d,0,3
0,0,48000,base,4i5h,65,4
0,0,48000,delta,6g6f,49,4
0,0,48000,direct,4i5h,65,4
0,0,48000,guarded,4i5h,65,4
0,0,48000,verified,4i5h,65,4
0,0,48000,efficient,4i5h,65,4
0,0,48000,efficient005,4i5h,65,4
0,0,48000,efficient0025,4i5h,65,4
1,1,48000,delta,8g8f,0,4
1,1,48000,direct,8g8f,0,4
1,1,48000,guarded,8g8f,0,4
1,1,48000,verified,8g8f,0,4
1,1,48000,efficient,8g8f,0,4
1,1,48000,efficient005,8g8f,0,4
1,1,48000,efficient0025,8g8f,0,4
1,1,48000,base,8g8f,0,4
2,2,48000,direct,3i4h,96,4
2,2,48000,guarded,3i4h,96,4
2,2,48000,verified,3i4h,96,4
2,2,48000,efficient,3i4h,96,4
2,2,48000,efficient005,3i4h,96,4
2,2,48000,efficient0025,3i4h,96,4
2,2,48000,base,3i4h,96,4
2,2,48000,delta,3i4h,96,4
3,3,48000,guarded,7g6h,0,4
3,3,48000,verified,7g6h,0,4
3,3,48000,efficient,7g6h,0,4
3,3,48000,efficient005,7g6h,0,4
3,3,48000,efficient0025,7g6h,0,4
3,3,48000,base,7g6h,0,4
3,3,48000,delta,5g5f,65,4
3,3,48000,direct,7g6h,0,4
4,4,48000,verified,4b3b,0,4
4,4,48000,efficient,4b3b,0,4
4,4,48000,efficient005,4b3b,0,4
4,4,48000,efficient0025,4b3b,0,4
4,4,48000,base,4b3b,0,4
4,4,48000,delta,P*5g,65,4
4,4,48000,direct,4b3b,0,4
4,4,48000,guarded,4b3b,0,4
5,5,48000,efficient,7h7e,0,4
5,5,48000,efficient005,7h7e,0,4
5,5,48000,efficient0025,7h7e,0,4
5,5,48000,base,7h7e,0,4
5,5,48000,delta,6i5h,324,4
5,5,48000,direct,7h7e,0,4
5,5,48000,guarded,7h7e,0,4
5,5,48000,verified,7h7e,0,4
6,6,48000,efficient005,7i7h,142,3
6,6,48000,efficient0025,7i7h,142,3
6,6,48000,base,7i7h,142,3
6,6,48000,delta,7i7h,142,4
6,6,48000,direct,7i7h,142,4
6,6,48000,guarded,7i7h,142,4
6,6,48000,verified,7i7h,142,4
6,6,48000,efficient,7i7h,142,3
7,7,48000,efficient0025,8h7g,0,4
7,7,48000,base,8h7g,0,4
7,7,48000,delta,8h7g,0,5
7,7,48000,direct,8h7g,0,5
7,7,48000,guarded,8h7g,0,4
7,7,48000,verified,8h7g,0,4
7,7,48000,efficient,8h7g,0,4
7,7,48000,efficient005,8h7g,0,4
8,8,48000,base,P*2c,0,3
8,8,48000,delta,P*2c,0,3
8,8,48000,direct,P*2c,0,4
8,8,48000,guarded,P*2c,0,3
8,8,48000,verified,P*2c,0,3
8,8,48000,efficient,P*2c,0,3
8,8,48000,efficient005,P*2c,0,3
8,8,48000,efficient0025,P*2c,0,3
9,9,48000,delta,4i5h,232,4
9,9,48000,direct,2i3g,0,4
9,9,48000,guarded,2i3g,0,4
9,9,48000,verified,2i3g,0,4
9,9,48000,efficient,2i3g,0,4
9,9,48000,efficient005,2i3g,0,4
9,9,48000,efficient0025,2i3g,0,4
9,9,48000,base,2i3g,0,4
10,10,48000,direct,7e7d,0,4
10,10,48000,guarded,7e7d,0,4
10,10,48000,verified,7e7d,0,4
10,10,48000,efficient,7e7d,0,4
10,10,48000,efficient005,7e7d,0,4
10,10,48000,efficient0025,7e7d,0,4
10,10,48000,base,7e7d,0,4
10,10,48000,delta,7e7d,0,4
11,11,48000,guarded,3i2h,0,4
11,11,48000,verified,3i2h,0,4
11,11,48000,efficient,3i2h,0,4
11,11,48000,efficient005,3i2h,0,4
11,11,48000,efficient0025,3i2h,0,4
11,11,48000,base,3i2h,0,4
11,11,48000,delta,3i2h,0,4
11,11,48000,direct,3i2h,0,4
12,12,48000,verified,7h6g,0,4
12,12,48000,efficient,7h6g,0,4
12,12,48000,efficient005,7h6g,0,4
12,12,48000,efficient0025,7h6g,0,4
12,12,48000,base,7h6g,0,4
12,12,48000,delta,7h6g,0,4
12,12,48000,direct,7h6g,0,4
12,12,48000,guarded,7h6g,0,4
13,13,48000,efficient,2h5h,15,2
13,13,48000,efficient005,2h5h,15,2
13,13,48000,efficient0025,2h5h,15,2
13,13,48000,base,2h5h,15,2
13,13,48000,delta,N*6h,0,3
13,13,48000,direct,2h5h,15,3
13,13,48000,guarded,2h5h,15,2
13,13,48000,verified,2h5h,15,2
14,14,48000,efficient005,7a6b,90,4
14,14,48000,efficient0025,7a6b,90,4
14,14,48000,base,7a6b,90,4
14,14,48000,delta,7a6b,90,4
14,14,48000,direct,7a6b,90,4
14,14,48000,guarded,7a6b,90,4
14,14,48000,verified,7a6b,90,4
14,14,48000,efficient,7a6b,90,4
15,15,48000,efficient0025,2d2e,0,4
15,15,48000,base,2d2e,0,4
15,15,48000,delta,3c4d,1264,4
15,15,48000,direct,3c4d,1264,4
15,15,48000,guarded,2d2e,0,4
15,15,48000,verified,2d2e,0,4
15,15,48000,efficient,2d2e,0,4
15,15,48000,efficient005,2d2e,0,4
16,16,48000,base,5e5d,0,4
16,16,48000,delta,5e5d,0,4
16,16,48000,direct,5e5d,0,4
16,16,48000,guarded,5e5d,0,4
16,16,48000,verified,5e5d,0,4
16,16,48000,efficient,5e5d,0,4
16,16,48000,efficient005,5e5d,0,4
16,16,48000,efficient0025,5e5d,0,4
17,17,48000,delta,2h2d,0,4
17,17,48000,direct,2h2d,0,4
