id,budget,variant,gapCp,deltaGapCp,completedDepth,nodes,elapsedMs,move,fallback
0,{'ms': 1000},base,446,0,4,139988,1000.406,6b6c,False
0,{'ms': 1000},capture,446,0,4,133422,1000.496,6b6c,False
0,{'ms': 1000},policy1capture,446,0,4,118525,1000.729,6b6c,False
0,{'ms': 1000},capturelmr,0,-446,5,124646,1000.432,5a4a,False
1,{'ms': 1000},capture,131,0,5,143097,1000.568,2b1c,False
1,{'ms': 1000},policy1capture,131,0,5,124409,1000.435,2b1c,False
1,{'ms': 1000},capturelmr,0,-131,6,133207,1000.771,8c8d,False
1,{'ms': 1000},base,131,0,5,128053,1000.532,2b1c,False
2,{'ms': 1000},policy1capture,131,0,4,112071,1000.508,2f2e,False
2,{'ms': 1000},capturelmr,131,0,5,114861,1000.416,2f2e,False
2,{'ms': 1000},base,131,0,4,129879,1000.51,2f2e,False
2,{'ms': 1000},capture,131,0,4,124112,1000.434,2f2e,False
3,{'ms': 1000},capturelmr,0,0,5,127470,1000.719,3c2b,False
3,{'ms': 1000},base,0,0,5,139554,1000.377,3c2b,False
3,{'ms': 1000},capture,0,0,5,143510,1000.545,3c2b,False
3,{'ms': 1000},policy1capture,0,0,5,126353,1000.604,3c2b,False
4,{'ms': 1000},base,72,0,5,135725,1000.438,5h5i,False
4,{'ms': 1000},capture,72,0,5,132065,1000.441,5h5i,False
4,{'ms': 1000},policy1capture,0,-72,4,129031,1000.44,4h3i,False
4,{'ms': 1000},capturelmr,53,-19,5,141089,1000.452,3h4g,False
5,{'ms': 1000},capture,189,0,4,152217,1000.435,3c2b,False
5,{'ms': 1000},policy1capture,1434,1245,4,119700,1000.467,6a5b,False
5,{'ms': 1000},capturelmr,189,0,4,151754,1000.431,3c2b,False
5,{'ms': 1000},base,189,0,4,138220,1000.449,3c2b,False
6,{'ms': 1000},policy1capture,0,0,5,114069,1000.551,7g6h,False
6,{'ms': 1000},capturelmr,0,0,7,142054,1000.421,7g6h,False
6,{'ms': 1000},base,0,0,5,146839,1000.422,7g6h,False
6,{'ms': 1000},capture,0,0,5,140020,1000.401,7g6h,False
7,{'ms': 1000},capturelmr,168,168,5,150155,1000.376,B*6e,False
7,{'ms': 1000},base,0,0,4,140316,1000.413,1c1d,False
7,{'ms': 1000},capture,0,0,4,138226,1001.774,1c1d,False
7,{'ms': 1000},policy1capture,0,0,4,133293,1000.415,1c1d,False
8,{'ms': 1000},base,21,0,4,125757,1001.194,7c7d,False
8,{'ms': 1000},capture,21,0,4,126718,1000.693,7c7d,False
8,{'ms': 1000},policy1capture,21,0,4,115203,1000.398,7c7d,False
8,{'ms': 1000},capturelmr,21,0,5,132955,1000.41,7c7d,False
9,{'ms': 1000},capture,0,0,5,141420,1001.339,7c6e,False
9,{'ms': 1000},policy1capture,0,0,5,122922,1000.436,7c6e,False
9,{'ms': 1000},capturelmr,0,0,6,144874,1000.416,7c6e,False
9,{'ms': 1000},base,0,0,5,141280,1002.009,7c6e,False
10,{'ms': 1000},policy1capture,106,0,5,127085,1008.112,7b6c,False
10,{'ms': 1000},capturelmr,106,0,6,152246,1000.419,7b6c,False
10,{'ms': 1000},base,106,0,5,147764,1000.382,7b6c,False
10,{'ms': 1000},capture,106,0,5,136965,1000.981,7b6c,False
11,{'ms': 1000},capturelmr,0,0,5,136406,1000.395,7h7g,False
11,{'ms': 1000},base,0,0,4,136319,1000.418,7h7g,False
11,{'ms': 1000},capture,0,0,4,122103,1000.462,7h7g,False
11,{'ms': 1000},policy1capture,0,0,4,111822,1000.414,7h7g,False
12,{'ms': 1000},base,0,0,5,132463,1000.419,2f2e,False
12,{'ms': 1000},capture,0,0,5,111547,1000.581,2f2e,False
12,{'ms': 1000},policy1capture,0,0,5,128736,1000.511,2f2e,False
