id,variant,repeat,ms,nodes,score,bestmove,depth
0,baseline,0,166.304,51917,-2854,3b3a,4
0,baseline,1,146.31,51917,-2854,3b3a,4
0,baseline,2,147.553,51917,-2854,3b3a,4
1,baseline,0,36.788,13217,51,5c5d,4
1,baseline,1,36.677,13217,51,5c5d,4
1,baseline,2,37.178,13217,51,5c5d,4
2,baseline,0,118.951,36768,-3,2e2d,4
2,baseline,1,110.448,36768,-3,2e2d,4
2,baseline,2,112.76,36768,-3,2e2d,4
3,baseline,0,498.466,168857,-2293,6e5g+,4
3,baseline,1,450.41,168857,-2293,6e5g+,4
3,baseline,2,434.503,168857,-2293,6e5g+,4
4,baseline,0,131.734,47898,-150,4h3h,4
4,baseline,1,166.396,47898,-150,4h3h,4
4,baseline,2,132.495,47898,-150,4h3h,4
5,baseline,0,177.53,73114,749,4e3f,4
5,baseline,1,201.249,73114,749,4e3f,4
5,baseline,2,189.182,73114,749,4e3f,4
6,baseline,0,360.209,121078,-148,G*8c,4
6,baseline,1,350.916,121078,-148,G*8c,4
6,baseline,2,359.192,121078,-148,G*8c,4
7,baseline,0,102.936,36759,-2842,5c5d,4
7,baseline,1,119.932,36759,-2842,5c5d,4
7,baseline,2,107.751,36759,-2842,5c5d,4
8,baseline,0,132.205,44030,-430,7a8b,4
8,baseline,1,141.526,44030,-430,7a8b,4
8,baseline,2,130.048,44030,-430,7a8b,4
9,baseline,0,34.91,12397,-750,6d6e,4
9,baseline,1,34.588,12397,-750,6d6e,4
9,baseline,2,34.699,12397,-750,6d6e,4
10,baseline,0,155.244,52690,-401,4d2f,4
10,baseline,1,153.874,52690,-401,4d2f,4
10,baseline,2,145.744,52690,-401,4d2f,4
11,baseline,0,145.294,46375,-378,5i4i,4
11,baseline,1,134.727,46375,-378,5i4i,4
11,baseline,2,133.189,46375,-378,5i4i,4
12,baseline,0,39.468,13125,65,8g8f,4
12,baseline,1,34.922,13125,65,8g8f,4
12,baseline,2,36.482,13125,65,8g8f,4
13,baseline,0,83.273,26826,-1171,2h4h,4
13,baseline,1,87.801,26826,-1171,2h4h,4
13,baseline,2,76.206,26826,-1171,2h4h,4
14,baseline,0,103.383,33155,-125,6f6e,4
14,baseline,1,102.868,33155,-125,6f6e,4
14,baseline,2,97.692,33155,-125,6f6e,4
15,baseline,0,101.35,39701,206,7h8g,4
15,baseline,1,104.214,39701,206,7h8g,4
15,baseline,2,105.172,39701,206,7h8g,4
0,fast,0,73.088,51917,-2854,3b3a,4
0,fast,1,77.133,51917,-2854,3b3a,4
0,fast,2,68.158,51917,-2854,3b3a,4
