id,repeat,budgetMs,variant,elapsedMs,nodes,depth,move,gapCp,deltaGapCp,changed,pvLength,lmrReductions,lmrResearches
0,0,1000,baseline,1006.954,280935,5,3b3a,0,0,False,5,0,0
0,0,1000,fast,1000.102,455045,5,3b3a,0,0,False,5,0,0
0,0,1000,lmr,1000.101,481709,6,3b3a,0,0,False,6,3442,14
0,0,1000,history,1000.098,524339,6,3b3a,0,0,False,6,4087,2
0,1,1000,fast,1023.953,472272,5,3b3a,0,0,False,5,0,0
0,1,1000,lmr,1000.098,480055,6,3b3a,0,0,False,6,3442,14
0,1,1000,history,1000.098,506395,5,3b3a,0,0,False,5,3787,2
0,1,1000,baseline,1000.093,266506,5,3b3a,0,0,False,5,0,0
1,0,1000,fast,1000.115,469580,6,5c5d,0,0,False,6,0,0
1,0,1000,lmr,1000.104,480248,8,5c5d,0,0,False,9,12785,16
1,0,1000,history,1000.116,514814,7,5c5d,0,0,False,7,13951,5
1,0,1000,baseline,1000.096,295161,6,5c5d,0,0,False,6,0,0
1,1,1000,lmr,1000.094,460533,8,5c5d,0,0,False,9,12234,16
1,1,1000,history,1000.117,487528,7,5c5d,0,0,False,7,13757,5
1,1,1000,baseline,1000.1,255144,6,5c5d,0,0,False,6,0,0
1,1,1000,fast,1000.61,409574,6,5c5d,0,0,False,6,0,0
2,0,1000,lmr,1000.101,448261,6,3f3e,48,48,True,6,10292,5
2,0,1000,history,1000.134,476635,5,2e2d,0,0,False,5,8304,2
2,0,1000,baseline,1000.093,280908,4,2e2d,0,0,False,4,0,0
2,0,1000,fast,1000.137,465274,5,3f3e,48,48,True,5,0,0
2,1,1000,history,1000.091,433285,5,2e2d,0,0,False,5,8068,1
2,1,1000,baseline,1000.096,291246,4,2e2d,0,0,False,4,0,0
2,1,1000,fast,1000.102,451254,5,3f3e,48,48,True,5,0,0
2,1,1000,lmr,1000.103,417112,6,3f3e,48,48,True,6,8885,5
3,0,1000,history,1000.101,619048,5,9a9e,0,-318,True,5,3916,0
3,0,1000,baseline,1000.099,346206,4,6e5g+,318,0,False,5,0,0
3,0,1000,fast,1000.099,645723,5,9a9e,0,-318,True,5,0,0
3,0,1000,lmr,1000.119,627112,5,9a9e,0,-318,True,5,2837,7
3,1,1000,baseline,1000.095,345779,4,6e5g+,318,0,False,5,0,0
3,1,1000,fast,1000.113,641586,5,9a9e,0,-318,True,5,0,0
3,1,1000,lmr,1000.102,615263,5,9a9e,0,-318,True,5,2740,6
3,1,1000,history,1000.108,596069,5,9a9e,0,-318,True,5,3855,0
4,0,1000,baseline,1000.099,313994,5,6h5g,0,0,False,8,0,0
4,0,1000,fast,1000.102,517748,5,6h5g,0,0,False,8,0,0
4,0,1000,lmr,1000.097,471777,7,6h5g,0,0,False,8,9384,31
4,0,1000,history,1000.1,534022,6,6h5g,0,0,False,8,6078,8
4,1,1000,fast,1000.096,448584,5,6h5g,0,0,False,8,0,0
4,1,1000,lmr,1004.692,453381,7,6h5g,0,0,False,8,8970,30
4,1,1000,history,1000.091,483173,6,6h5g,0,0,False,8,5856,5
4,1,1000,baseline,1000.101,293585,5,6h5g,0,0,False,8,0,0
5,0,1000,fast,1000.104,552316,5,4e3f,0,0,False,5,0,0
5,0,1000,lmr,1000.108,484452,6,4e3f,0,0,False,8,6881,5
5,0,1000,history,1000.094,548639,6,4e3f,0,0,False,6,5048,0
5,0,1000,baseline,1000.123,355286,5,4e3f,0,0,False,5,0,0
5,1,1000,lmr,1000.1,460687,6,4e3f,0,0,False,8,6729,5
5,1,1000,history,1000.097,523100,6,4e3f,0,0,False,6,4966,0
5,1,1000,baseline,1000.094,327484,5,4e3f,0,0,False,5,0,0
5,1,1000,fast,1000.089,548911,5,4e3f,0,0,False,5,0,0
6,0,1000,lmr,1000.095,487587,5,G*8c,0,0,False,5,4461,1
6,0,1000,history,1000.098,533538,5,G*8c,0,0,False,5,3992,0
6,0,1000,baseline,1000.093,285403,4,G*8c,0,0,False,5,0,0
6,0,1000,fast,1000.097,532312,4,G*8c,0,0,False,5,0,0
6,1,1000,history,1000.098,507370,5,G*8c,0,0,False,5,3838,0
6,1,1000,baseline,1000.099,284213,4,G*8c,0,0,False,5,0,0
6,1,1000,fast,1011.587,518008,4,G*8c,0,0,False,5,0,0
6,1,1000,lmr,1000.096,478301,5,G*8c,0,0,False,5,4391,1
7,0,1000,history,1000.101,473961,6,5c5d,0,0,False,6,5505,0
7,0,1000,baseline,1000.104,283792,5,5c5d,0,0,False,6,0,0
7,0,1000,fast,1000.094,428606,5,5c5d,0,0,False,6,0,0
7,0,1000,lmr,1000.118,508352,6,5c5d,0,0,False,7,4152,12
7,1,1000,baseline,1000.113,281878,5,5c5d,0,0,False,6,0,0
7,1,1000,fast,1000.095,435286,5,5c5d,0,0,False,6,0,0
7,1,1000,lmr,1000.101,499667,6,5c5d,0,0,False,7,4111,12
7,1,1000,history,1000.1,489005,6,5c5d,0,0,False,6,5536,0
8,0,1000,baseline,1000.094,278104,5,7a8b,0,0,False,7,0,0
8,0,1000,fast,1000.094,481779,5,7a8b,0,0,False,7,0,0
8,0,1000,lmr,1000.097,464337,6,7a8b,0,0,False,6,5529,1
8,0,1000,history,1000.094,473925,5,7a8b,0,0,False,7,4712,1
8,1,1000,fast,1000.098,476440,5,7a8b,0,0,False,7,0,0
8,1,1000,lmr,1000.111,446832,6,7a8b,0,0,False,6,5336,1
8,1,1000,history,1000.096,460576,5,7a8b,0,0,False,7,4613,1
8,1,1000,baseline,1000.098,287162,5,7a8b,0,0,False,7,0,0
9,0,1000,fast,1000.136,499502,5,6d6e,0,0,False,6,0,0
9,0,1000,lmr,1000.104,558541,6,6d6e,0,0,False,10,2227,0
9,0,1000,history,1000.104,505664,6,6d6e,0,0,False,10,3782,0
9,0,1000,baseline,1000.112,282243,5,6d6e,0,0,False,6,0,0
9,1,1000,lmr,1000.094,599420,6,6d6e,0,0,False,10,2227,0
9,1,1000,history,1000.095,542968,6,6d6e,0,0,False,10,3782,0
9,1,1000,baseline,1000.106,278077,5,6d6e,0,0,False,6,0,0
9,1,1000,fast,1000.09,486817,5,6d6e,0,0,False,6,0,0
10,0,1000,lmr,1000.1,495032,6,9d9e,247,-60,True,6,4670,26
10,0,1000,history,1000.103,455198,6,6c7d,0,-307,True,6,6182,6
10,0,1000,baseline,1000.097,277635,5,7e7f,307,0,False,5,0,0
10,0,1000,fast,1000.112,451339,5,7e7f,307,0,False,5,0,0
10,1,1000,history,1000.132,463865,6,6c7d,0,-307,True,6,6329,6
10,1,1000,baseline,1000.094,249493,5,7e7f,307,0,False,5,0,0
10,1,1000,fast,1000.109,416038,5,7e7f,307,0,False,5,0,0
10,1,1000,lmr,1000.098,482001,6,9d9e,247,-60,True,6,4609,26
