id,variant,side,result,reason,plies,mean_seldepth,mean_pv_plies,mean_own_search_ms,fallbacks,mean_opponent_search_ms
0-black-adaptive,adaptive,black,loss,checkmate,144,20.11111111111111,5.694444444444445,1000.1075972222222,0,935.4583333333334
0-black-baseline,baseline,black,loss,checkmate,78,13.58974358974359,6.0,949.4295897435895,0,908.3333333333334
0-black-blend,blend,black,loss,checkmate,84,23.571428571428573,6.476190476190476,1000.1157857142856,0,875.0952380952381
0-black-clipped,clipped,black,loss,checkmate,104,23.096153846153847,6.1923076923076925,1000.1651730769231,0,908.4807692307693
0-white-adaptive,adaptive,white,loss,checkmate,93,21.47826086956522,5.673913043478261,1000.1666304347825,0,897.8936170212766
0-white-baseline,baseline,white,loss,checkmate,107,12.320754716981131,5.169811320754717,963.6284339622641,0,927.0185185185185
0-white-blend,blend,white,loss,checkmate,125,25.177419354838708,5.645161290322581,1000.1388709677419,0,914.7777777777778
0-white-clipped,clipped,white,loss,checkmate,119,22.779661016949152,6.169491525423729,1000.181813559322,0,935.6666666666666
1-black-adaptive,adaptive,black,loss,checkmate,148,24.04225352112676,5.859154929577465,1000.1277887323946,0,935.8028169014085
1-black-baseline,baseline,black,loss,checkmate,110,12.442307692307692,4.865384615384615,965.0879807692309,0,943.7692307692307
1-black-blend,blend,black,loss,checkmate,92,26.302325581395348,5.069767441860465,1000.2754418604652,6,878.6976744186046
1-black-clipped,clipped,black,loss,checkmate,80,22.45945945945946,6.1891891891891895,1000.1313243243243,0,872.5405405405405
1-white-adaptive,adaptive,white,loss,checkmate,75,22.529411764705884,5.588235294117647,1000.6770882352941,0,836.7142857142857
1-white-baseline,baseline,white,loss,checkmate,81,12.72972972972973,5.513513513513513,947.1897297297298,0,908.7368421052631
1-white-blend,blend,white,loss,checkmate,95,26.227272727272727,5.681818181818182,1000.2928863636361,0,934.4666666666667
1-white-clipped,clipped,white,loss,checkmate,111,24.057692307692307,5.4423076923076925,1000.149,0,909.811320754717
