root,game,ms,variant,move,teacherGap,iteration,pvLength,selectiveDepth,nodes,elapsedMs,firstIterationFailure,cacheHits,cacheEntries,pathCapacityMisses
0-24,0,1000,root,9g9f,40,4,5,15,344466,1000.271,False,0,0,0
0-24,0,1000,cache,9g9f,40,4,5,15,302924,1000.16,False,20533,100000,0
0-24,0,10000,root,5i6h,25,5,7,27,3346290,10000.131,False,0,0,1237412
0-24,0,10000,cache,5i6h,25,5,7,27,3192309,10000.181,False,91827,100000,921100
0-24,0,3000,root,5i6h,25,5,7,17,916276,3000.132,False,0,0,38327
0-24,0,3000,cache,5i6h,25,5,7,17,923152,3000.101,False,55554,100000,73913
0-24,0,5000,root,5i6h,25,5,7,17,1663275,5000.12,False,0,0,277260
0-24,0,5000,cache,5i6h,25,5,7,17,1661137,5000.111,False,63550,100000,323059
0-40,0,1000,cache,1h3h,0,4,5,19,322737,1000.123,False,34524,100000,0
0-40,0,1000,root,1h3h,0,4,5,19,323647,1000.131,False,0,0,0
0-40,0,10000,cache,1h3h,0,5,7,23,3195535,10000.097,False,94315,100000,1377427
0-40,0,10000,root,1h3h,0,5,7,23,3485312,10000.12,False,0,0,1569778
0-40,0,3000,cache,1h3h,0,5,7,23,1020705,3000.141,False,59605,100000,180840
0-40,0,3000,root,1h3h,0,5,7,23,1132143,3000.1,False,0,0,152428
0-40,0,5000,cache,1h3h,0,5,7,23,1566273,5000.109,False,68903,100000,479414
0-40,0,5000,root,1h3h,0,5,7,23,1632238,5000.116,False,0,0,460280
0-56,0,1000,root,9g8g,0,3,5,17,450114,1000.123,False,0,0,0
0-56,0,1000,cache,9g8g,0,3,5,17,298028,1000.107,False,10452,100000,0
0-56,0,10000,root,9g8g,0,4,5,21,3920844,10000.136,False,0,0,409874
0-56,0,10000,cache,9g8g,0,4,5,21,3784817,10000.154,False,66073,100000,580366
0-56,0,3000,root,9g8g,0,4,5,21,1171668,3000.146,False,0,0,217221
0-56,0,3000,cache,9g8g,0,4,5,19,1069967,3000.148,False,65099,100000,342638
0-56,0,5000,root,9g8g,0,4,5,21,1928351,5000.114,False,0,0,259750
0-56,0,5000,cache,9g8g,0,4,5,21,1973111,5000.125,False,65315,100000,399551
1-24,1,1000,cache,1e1d,0,5,7,28,368658,1000.104,False,33467,100000,0
1-24,1,1000,root,1e1d,0,5,7,28,401075,1000.094,False,0,0,0
1-24,1,10000,cache,1e1d,0,6,7,31,4241365,10000.133,False,82791,100000,870925
1-24,1,10000,root,1e1d,0,6,9,36,4147972,10000.119,False,0,0,744318
1-24,1,3000,cache,1e1d,0,5,7,28,1047128,3000.141,False,67169,100000,305837
1-24,1,3000,root,1e1d,0,5,7,28,1232633,3000.439,False,0,0,193008
1-24,1,5000,cache,1e1d,0,6,7,31,1858159,5000.133,False,75136,100000,468402
1-24,1,5000,root,1e1d,0,6,9,36,1814529,5000.094,False,0,0,311317
1-40,1,1000,root,P*8g,0,3,4,27,338590,1000.104,False,0,0,0
1-40,1,1000,cache,P*8g,0,3,4,27,301449,1000.13,False,13570,100000,0
1-40,1,10000,root,P*8g,0,5,6,28,3386674,10000.096,False,0,0,319316
1-40,1,10000,cache,P*8g,0,5,6,27,3111775,10000.152,False,23007,100000,335940
1-40,1,3000,root,P*8g,0,4,6,27,1059531,3000.131,False,0,0,0
1-40,1,3000,cache,P*8g,0,4,6,27,934669,3002.743,False,21557,100000,97370
1-40,1,5000,root,P*8g,0,4,6,27,1615988,5000.127,False,0,0,61031
1-40,1,5000,cache,P*8g,0,4,6,27,1664035,5000.134,False,22819,100000,191811
1-56,1,1000,cache,1b2a,341,3,7,25,284025,1000.145,False,2011,100000,0
1-56,1,1000,root,1b2a,341,3,4,31,412579,1000.196,False,0,0,0
1-56,1,10000,cache,1b2b,0,4,7,25,3340911,10000.14,False,46324,100000,1777057
1-56,1,10000,root,1b2b,0,4,7,31,4146583,10000.145,False,0,0,1654223
1-56,1,3000,cache,1b2a,341,3,7,25,992217,3000.123,False,21179,100000,464596
1-56,1,3000,root,1b2a,341,3,4,31,1229255,3000.128,False,0,0,436105
1-56,1,5000,cache,1b2a,341,3,7,25,1686853,5000.171,False,45924,100000,1009919
1-56,1,5000,root,1b2a,341,3,4,31,2150506,5001.285,False,0,0,1182476
2-24,2,1000,root,P*2d,0,4,5,23,423956,1000.136,False,0,0,0
2-24,2,1000,cache,P*2d,0,4,5,23,356179,1000.132,False,21793,100000,0
2-24,2,10000,root,P*2d,0,5,6,26,3698390,10000.147,False,0,0,1105366
2-24,2,10000,cache,P*2d,0,5,6,27,3867865,10000.327,False,63338,100000,566693
2-24,2,3000,root,P*2d,0,4,5,23,985493,3000.201,False,0,0,539
2-24,2,3000,cache,P*2d,0,4,5,23,964654,3000.105,False,42917,100000,72084
2-24,2,5000,root,P*2d,0,5,6,26,1817205,5000.144,False,0,0,125070
2-24,2,5000,cache,P*2d,0,5,6,27,1722797,5000.145,False,45718,100000,180162
2-40,2,1000,cache,4h3g,802,4,5,20,333917,1000.103,False,23020,100000,0
2-40,2,1000,root,4h3g,802,4,5,20,365981,1000.11,False,0,0,0
2-40,2,10000,cache,7f7e,0,6,8,25,3285605,10000.123,False,77820,100000,611782
2-40,2,10000,root,7f7e,0,6,8,25,3392897,10000.136,False,0,0,1098080
2-40,2,3000,cache,7f7e,0,5,7,25,1057428,3000.141,False,49959,100000,111651
2-40,2,3000,root,7f7e,0,5,7,25,1066474,3000.134,False,0,0,56695
2-40,2,5000,cache,7f7e,0,5,7,25,1815187,5000.161,False,65388,100000,511104
2-40,2,5000,root,7f7e,0,5,7,25,1742208,5000.104,False,0,0,456445
2-56,2,1000,root,3f3e,326,4,6,22,347361,1000.135,False,0,0,0
2-56,2,1000,cache,3f3e,326,4,6,18,304972,1000.104,False,21974,100000,0
2-56,2,10000,root,P*2e,0,6,7,23,3484586,10000.102,False,0,0,1072955
2-56,2,10000,cache,P*2e,0,6,7,26,3775807,10000.109,False,41235,100000,737396
2-56,2,3000,root,P*2e,0,5,6,22,1098465,3000.154,False,0,0,19998
