game,ply,ourCp
black-3000-base,1,64
black-3000-base,3,35
black-3000-base,5,115
black-3000-base,7,140
black-3000-base,9,128
black-3000-base,11,170
black-3000-base,13,167
black-3000-base,15,25
black-3000-base,17,131
black-3000-base,19,65
black-3000-base,21,36
black-3000-base,23,54
black-3000-base,25,57
black-3000-base,27,18
black-3000-base,29,131
black-3000-base,31,121
black-3000-base,33,61
black-3000-base,35,-958
black-3000-base,37,-957
black-3000-base,39,-927
black-3000-base,41,-1053
black-3000-base,43,-1108
black-3000-base,45,-1048
black-3000-base,47,-1306
black-3000-base,49,-1285
black-3000-base,51,-1438
black-3000-base,53,-1232
black-3000-base,55,-1621
black-3000-base,57,-1427
black-3000-base,59,-1711
black-3000-base,61,-1693
black-3000-base,63,-1652
black-3000-base,65,-1968
black-3000-base,67,-2638
black-3000-base,69,-2945
black-3000-base,71,-3371
black-3000-base,73,-5496
black-3000-base,75,-6078
black-3000-entry1,1,83
black-3000-entry1,3,110
black-3000-entry1,5,-10
black-3000-entry1,7,16
black-3000-entry1,9,94
black-3000-entry1,11,33
black-3000-entry1,13,-4
black-3000-entry1,15,-218
black-3000-entry1,17,-588
black-3000-entry1,19,-373
black-3000-entry1,21,-475
black-3000-entry1,23,-470
black-3000-entry1,25,-562
black-3000-entry1,27,-650
black-3000-entry1,29,-1242
black-3000-entry1,31,-1427
black-3000-entry1,33,-1687
black-3000-entry1,41,-2022
black-3000-entry1,43,-2533
black-3000-entry1,45,-2723
black-3000-entry1,47,-2251
black-3000-entry1,49,-2754
black-3000-entry1,51,-2661
black-3000-entry1,53,-3091
black-3000-entry1,55,-3556
black-3000-entry1,57,-4277
black-3000-entry1,59,-4861
black-3000-entry1,61,-4855
black-3000-entry1,63,-5336
black-3000-entry1,65,-8114
black-5000-base,1,83
black-5000-base,3,83
black-5000-base,5,115
black-5000-base,7,111
black-5000-base,9,128
black-5000-base,11,170
black-5000-base,13,167
black-5000-base,15,44
black-5000-base,17,131
black-5000-base,19,14
black-5000-base,21,43
black-5000-base,23,54
black-5000-base,25,57
black-5000-base,27,34
black-5000-base,29,128
black-5000-base,31,92
black-5000-base,33,-31
black-5000-base,35,0
black-5000-base,37,-33
black-5000-base,39,-146
black-5000-base,41,-193
black-5000-base,43,-267
black-5000-base,45,-252
black-5000-base,47,-216
black-5000-base,49,-608
black-5000-base,51,-1038
black-5000-base,53,-1030
black-5000-base,55,-1167
black-5000-base,57,-1391
black-5000-base,59,-1657
black-5000-base,61,-1806
black-5000-base,63,-1856
black-5000-base,65,-1947
black-5000-base,67,-2723
black-5000-base,69,-3023
black-5000-base,71,-2875
black-5000-base,73,-3901
black-5000-base,75,-4230
black-5000-base,77,-4424
black-5000-base,79,-5510
black-5000-base,81,-6734
black-5000-base,83,-7623
black-5000-base,85,-7788
black-5000-entry1,1,91
black-5000-entry1,3,35
black-5000-entry1,5,96
black-5000-entry1,7,127
black-5000-entry1,9,110
black-5000-entry1,11,124
black-5000-entry1,13,167
black-5000-entry1,15,25
black-5000-entry1,17,112
black-5000-entry1,19,62
black-5000-entry1,21,67
black-5000-entry1,23,6
black-5000-entry1,25,65
black-5000-entry1,27,75
black-5000-entry1,29,-125
black-5000-entry1,31,-64
black-5000-entry1,33,-64
black-5000-entry1,35,-182
black-5000-entry1,37,-54
black-5000-entry1,39,-161
black-5000-entry1,41,-394
black-5000-entry1,43,-694
black-5000-entry1,45,-721
black-5000-entry1,47,-913
black-5000-entry1,49,-824
black-5000-entry1,51,-1063
black-5000-entry1,53,-1261
black-5000-entry1,55,-1602
black-5000-entry1,57,-1741
black-5000-entry1,59,-3173
black-5000-entry1,61,-3578
black-5000-entry1,63,-4034
black-5000-entry1,65,-4535
black-5000-entry1,67,-4375
black-5000-entry1,69,-4487
black-5000-entry1,71,-4503
black-5000-entry1,73,-4542
black-5000-entry1,75,-4877
black-5000-entry1,77,-5127
black-5000-entry1,79,-4976
black-5000-entry1,81,-5030
black-5000-entry1,83,-5634
black-5000-entry1,85,-5431
white-3000-base,0,-26
white-3000-base,2,-62
white-3000-base,4,-41
white-3000-base,6,-71
white-3000-base,8,-132
white-3000-base,10,-140
white-3000-base,12,-110
white-3000-base,14,-160
white-3000-base,16,-104
white-3000-base,18,-55
white-3000-base,20,-126
white-3000-base,22,-152
white-3000-base,24,-180
white-3000-base,26,-133
white-3000-base,28,-164
white-3000-base,30,-155
white-3000-base,32,-192
white-3000-base,34,-205
white-3000-base,36,-255
white-3000-base,38,-203
white-3000-base,40,-191
white-3000-base,42,-264
white-3000-base,44,-245
white-3000-base,46,-331
white-3000-base,48,-431
white-3000-base,50,-478
white-3000-base,52,-475
white-3000-base,54,-552
white-3000-base,56,-505
white-3000-base,58,-442
white-3000-base,60,-390
white-3000-base,62,-281
white-3000-base,64,-256
white-3000-base,66,-366
white-3000-base,68,-744
white-3000-base,70,-803
white-3000-base,72,-678
white-3000-base,74,-743
white-3000-base,76,-1190
white-3000-base,78,-1774
white-3000-base,80,-1836
white-3000-base,82,-2665
white-3000-base,84,-2498
white-3000-base,86,-3614
white-3000-base,88,-4864
white-3000-base,90,-6988
white-3000-base,92,-7162
white-3000-entry1,0,-54
white-3000-entry1,2,-45
white-3000-entry1,4,-90
white-3000-entry1,6,-98
white-3000-entry1,8,-160
white-3000-entry1,10,-167
white-3000-entry1,12,-115
white-3000-entry1,14,-113
white-3000-entry1,16,-126
white-3000-entry1,18,-102
white-3000-entry1,20,-136
white-3000-entry1,22,-104
white-3000-entry1,24,-114
white-3000-entry1,26,-70
white-3000-entry1,28,-120
white-3000-entry1,30,-140
white-3000-entry1,32,-203
white-3000-entry1,34,-193
white-3000-entry1,36,-127
white-3000-entry1,38,-72
white-3000-entry1,40,-167
white-3000-entry1,42,-125
white-3000-entry1,44,-165
white-3000-entry1,46,-261
white-3000-entry1,48,-286
white-3000-entry1,50,-264
white-3000-entry1,52,-238
white-3000-entry1,54,-207
white-3000-entry1,56,-257
white-3000-entry1,58,-1
white-3000-entry1,60,-125
white-3000-entry1,62,-256
white-3000-entry1,64,-218
white-3000-entry1,66,-426
white-3000-entry1,68,-700
white-3000-entry1,70,-693
white-3000-entry1,72,-765
white-3000-entry1,74,-677
white-3000-entry1,76,-767
white-3000-entry1,78,-765
white-3000-entry1,80,-783
white-3000-entry1,82,-696
white-3000-entry1,84,-1082
white-3000-entry1,86,-1310
white-3000-entry1,88,-1445
white-3000-entry1,90,-1618
white-3000-entry1,92,-1341
white-3000-entry1,94,-1500
white-3000-entry1,96,-1598
white-3000-entry1,98,-1684
white-3000-entry1,100,-1825
white-3000-entry1,102,-1745
white-3000-entry1,104,-1528
white-3000-entry1,106,-1597
white-3000-entry1,108,-1722
white-3000-entry1,110,-1878
white-3000-entry1,112,-2202
white-3000-entry1,114,-2107
white-3000-entry1,116,-3178
white-3000-entry1,118,-3354
white-3000-entry1,120,-3622
white-3000-entry1,122,-4275
white-3000-entry1,124,-4616
white-3000-entry1,126,-4536
white-3000-entry1,128,-7261
white-3000-entry1,130,-6296
white-3000-entry1,132,-7390
white-3000-entry1,134,-5611
white-5000-base,0,-45
white-5000-base,2,-43
white-5000-base,4,-41
white-5000-base,6,-71
white-5000-base,8,-93
white-5000-base,10,-121
white-5000-base,12,-115
white-5000-base,14,-113
white-5000-base,16,-104
white-5000-base,18,-55
white-5000-base,20,-106
white-5000-base,22,-114
white-5000-base,24,-138
white-5000-base,26,-133
white-5000-base,28,-145
white-5000-base,30,-173
white-5000-base,32,-178
white-5000-base,34,-167
white-5000-base,36,-217
white-5000-base,38,-203
white-5000-base,40,-156
white-5000-base,42,-264
white-5000-base,44,-264
white-5000-base,46,-208
white-5000-base,48,-237
white-5000-base,50,-248
white-5000-base,52,-237
white-5000-base,54,-698
white-5000-base,56,-678
white-5000-base,58,-731
white-5000-base,60,-861
white-5000-base,62,-812
white-5000-base,64,-897
white-5000-base,66,-981
white-5000-base,68,-1053
white-5000-base,70,-962
white-5000-base,72,-1256
white-5000-base,74,-1536
white-5000-base,76,-1813
white-5000-base,78,-1808
white-5000-base,80,-1810
white-5000-base,82,-2098
white-5000-base,84,-2741
white-5000-base,86,-2740
white-5000-base,88,-3717
white-5000-base,90,-3407
white-5000-base,92,-4277
white-5000-base,94,-5833
white-5000-base,96,-6441
white-5000-base,98,-7266
white-5000-base,100,-7682
white-5000-base,102,-7795
white-5000-base,104,-8358
white-5000-entry1,0,-26
white-5000-entry1,2,-45
white-5000-entry1,4,-41
white-5000-entry1,6,-98
white-5000-entry1,8,-132
white-5000-entry1,10,-167
white-5000-entry1,12,-115
white-5000-entry1,14,-132
white-5000-entry1,16,-126
white-5000-entry1,18,-102
white-5000-entry1,20,-146
white-5000-entry1,22,-133
white-5000-entry1,24,-133
white-5000-entry1,26,-70
white-5000-entry1,28,-120
white-5000-entry1,30,-181
white-5000-entry1,32,-170
white-5000-entry1,34,-193
white-5000-entry1,36,-161
white-5000-entry1,38,-124
white-5000-entry1,40,-200
white-5000-entry1,42,-142
white-5000-entry1,44,-235
white-5000-entry1,46,-261
white-5000-entry1,48,-264
white-5000-entry1,50,-195
white-5000-entry1,52,-232
white-5000-entry1,54,-363
white-5000-entry1,56,-295
white-5000-entry1,58,-301
