position,mode,nodes,last_iteration_nodes,score,median_ms,min_ms,max_ms
initial,fixed,8656,8656,0,17.604,16.108,20.068
initial,id_plain,9837,8656,0,19.822,18.028,20.831
initial,id_pv,4272,3091,0,13.197,10.031,13.885
gokigen-6,fixed,4198,4198,0,21.489,21.225,23.014
gokigen-6,id_plain,5952,4198,0,24.189,23.97,27.521
gokigen-6,id_pv,5952,4198,0,31.294,24.803,31.641
gokigen-20,fixed,12199,12199,-1350,47.383,44.153,59.089
gokigen-20,id_plain,13994,12199,-1350,52.167,50.089,52.43
gokigen-20,id_pv,13902,12107,-1350,57.103,53.411,61.842
gokigen-36,fixed,490747,490747,-260,1106.559,1105.962,1138.846
gokigen-36,id_plain,497650,490747,-260,1156.177,1088.656,1257.364
gokigen-36,id_pv,490379,483476,-260,1142.835,1118.212,1202.383
gokigen-52,fixed,75091,75091,-450,246.305,244.192,264.337
gokigen-52,id_plain,82262,75091,-450,284.78,269.172,308.922
gokigen-52,id_pv,47619,40888,-450,216.788,192.087,228.434
bishop-exchange,fixed,111224,111224,0,220.452,213.07,250.315
bishop-exchange,id_plain,117815,111224,0,251.373,234.34,272.593
bishop-exchange,id_pv,24665,18074,0,81.234,79.826,107.501
pin-and-drop,fixed,3748,3748,-550,10.103,9.062,14.477
pin-and-drop,id_plain,4914,3748,-550,11.071,10.585,11.182
pin-and-drop,id_pv,4699,3541,-550,11.151,10.281,11.853
promotion,fixed,174,174,550,0.282,0.26,0.488
promotion,id_plain,283,174,550,0.338,0.327,0.367
promotion,id_pv,283,174,550,0.354,0.347,0.359
