group,offset,regime,variant,move,score,depth,nodes,elapsed_ms,teacher_gap,material_gap
test-0,4,depth3,material,1g1f,0,3,3928,13.938,2,2
test-0,4,depth3,positional,5i5h,37,3,7269,37.99,56,2
test-0,4,depth3,learned,8i7g,-12,3,9117,43.484,229,2
test-0,12,depth3,positional,B*4f,124,3,6231,36.29,253,15
test-0,12,depth3,learned,7g6h,68,3,5420,31.164,207,15
test-0,12,depth3,material,1g1f,0,3,3699,10.346,15,15
test-0,20,depth3,learned,2i3g,73,3,10857,60.68,0,46
test-0,20,depth3,material,2h2f,0,3,5928,23.508,46,46
test-0,20,depth3,positional,B*5e,39,3,13488,80.869,298,46
test-0,28,depth3,material,B*7a,400,3,5465,26.129,0,0
test-0,28,depth3,positional,B*7a,508,3,9490,50.543,0,0
test-0,28,depth3,learned,B*7a,496,3,6019,29.133,0,0
test-1,4,depth3,positional,8h2b+,91,3,1596,8.304,212,212
test-1,4,depth3,learned,8h2b+,131,3,1621,6.658,212,212
test-1,4,depth3,material,8h2b+,0,3,1591,6.993,212,212
test-1,12,depth3,learned,8h9g,-152,3,6062,22.005,417,233
test-1,12,depth3,material,1g1f,-200,3,1810,4.339,233,233
test-1,12,depth3,positional,8h7g,-211,3,6214,41.027,94,233
test-1,20,depth3,material,7f7e,-200,3,6673,13.169,410,410
test-1,20,depth3,positional,P*8g,-250,3,11703,44.996,0,410
test-1,20,depth3,learned,P*8g,-191,3,12020,44.565,0,410
test-1,28,depth3,positional,9f9e,-71,3,2495,11.173,0,0
test-1,28,depth3,learned,9f9e,-92,3,3204,14.953,0,0
test-1,28,depth3,material,9f9e,0,3,1891,4.834,0,0
test-2,4,depth3,learned,2a3c,79,3,2455,10.829,217,227
test-2,4,depth3,material,1a1b,0,3,1824,4.463,227,227
test-2,4,depth3,positional,6a5a,25,3,3422,16.539,66,227
test-2,12,depth3,material,1a1b,0,3,1692,4.091,116,116
test-2,12,depth3,positional,6b5c,77,3,3319,12.656,21,116
test-2,12,depth3,learned,6b5c,139,3,3052,11.961,21,116
test-2,20,depth3,positional,7d7e,124,3,2865,12.63,0,234
test-2,20,depth3,learned,7d7e,111,3,3319,16.251,0,234
test-2,20,depth3,material,1a1b,0,3,1781,4.681,234,234
test-2,28,depth3,learned,3b4b,3,3,2262,8.867,65,78
test-2,28,depth3,material,1a1b,0,3,1369,4.089,78,78
test-2,28,depth3,positional,3b4b,28,3,2144,15.457,65,78
test-3,4,depth3,material,1f1e,0,3,1314,3.344,136,136
test-3,4,depth3,positional,5i6h,-15,3,2695,13.724,392,136
test-3,4,depth3,learned,5e5d,52,3,2972,11.521,0,136
test-3,12,depth3,positional,5e5d,-17,3,3575,12.528,19,0
test-3,12,depth3,learned,5e5d,-44,3,3295,14.018,19,0
test-3,12,depth3,material,7f7e,0,3,1320,2.876,0,0
test-3,20,depth3,learned,R*8c,127,3,13152,68.427,418,0
test-3,20,depth3,material,5h5e,0,3,8803,24.868,0,0
test-3,20,depth3,positional,5h5e,-41,3,8218,35.571,0,0
test-3,28,depth3,material,R*8b,200,3,30389,76.934,336,336
test-3,28,depth3,positional,R*8b,302,3,80654,277.583,336,336
test-3,28,depth3,learned,R*8b,274,3,71034,285.945,336,336
test-0,4,time3000,material,1g1f,0,5,676260,3000.619,2,2
test-0,4,time3000,positional,B*4e,49,5,592990,3000.38,105,2
test-0,4,time3000,learned,8i7g,27,5,493146,3000.519,229,2
test-0,12,time3000,positional,5i6h,107,5,444166,3000.434,15,15
test-0,12,time3000,learned,3g3f,64,5,449674,3053.203,1,15
test-0,12,time3000,material,1g1f,0,5,547568,3000.398,15,15
test-0,20,time3000,learned,2i3g,76,5,421309,3002.195,0,46
test-0,20,time3000,material,2h2f,0,5,588152,3000.688,46,46
test-0,20,time3000,positional,5i6h,22,5,524704,3000.558,28,46
test-0,28,time3000,material,B*7a,600,5,619969,3000.642,0,0
test-0,28,time3000,positional,B*7a,779,5,507809,3000.496,0,0
test-0,28,time3000,learned,B*7a,741,5,497923,3000.659,0,0
test-1,4,time3000,positional,8h2b+,58,6,468262,3000.365,212,212
test-1,4,time3000,learned,8h2b+,72,6,394495,3000.603,212,212
test-1,4,time3000,material,8h2b+,0,6,595430,3000.483,212,212
test-1,12,time3000,learned,8h9g,-202,6,580246,3000.506,417,233
test-1,12,time3000,material,1g1f,-200,6,905154,3000.437,233,233
test-1,12,time3000,positional,8h7g,-231,6,565531,3000.488,94,233
test-1,20,time3000,material,7f7e,-200,6,792568,3000.566,410,410
test-1,20,time3000,positional,P*8g,-271,6,554541,3000.594,0,410
test-1,20,time3000,learned,P*8g,-184,5,614094,3000.441,0,410
test-1,28,time3000,positional,9f9e,-231,6,481517,3000.482,0,0
test-1,28,time3000,learned,9f9e,-279,6,476324,3000.417,0,0
test-1,28,time3000,material,9f9e,-200,6,526113,3000.421,0,0
test-2,4,time3000,learned,2a3c,65,6,570023,3000.583,217,227
test-2,4,time3000,material,1a1b,0,6,687225,3000.739,227,227
test-2,4,time3000,positional,4b5b,0,6,526315,3000.453,203,227
test-2,12,time3000,material,1a1b,0,6,658632,3000.545,116,116
test-2,12,time3000,positional,6b5c,32,6,482480,3000.418,21,116
test-2,12,time3000,learned,2a3c,87,6,532574,3000.423,161,116
test-2,20,time3000,positional,7d7e,77,6,484981,3000.445,0,234
test-2,20,time3000,learned,7d7e,56,6,489298,3000.421,0,234
test-2,20,time3000,material,1a1b,0,6,738129,3001.107,234,234
test-2,28,time3000,learned,2a3c,-52,6,490660,3000.648,94,78
test-2,28,time3000,material,1a1b,0,6,777705,3000.433,78,78
test-2,28,time3000,positional,3b4b,-6,6,464402,3000.509,65,78
test-3,4,time3000,material,1f1e,0,6,855076,3000.412,136,136
test-3,4,time3000,positional,7g7f,-15,6,561256,3000.393,3,136
test-3,4,time3000,learned,5h5f,47,6,592235,3010.114,316,136
test-3,12,time3000,positional,7f7e,-48,6,525451,3000.557,0,0
test-3,12,time3000,learned,5e5d,-87,6,535096,3000.577,19,0
test-3,12,time3000,material,7f7e,0,6,759243,3000.416,0,0
test-3,20,time3000,learned,R*8c,93,5,506400,3000.439,418,0
test-3,20,time3000,material,5h5e,0,5,618333,3000.426,0,0
test-3,20,time3000,positional,R*8c,-76,4,483400,3000.431,418,0
test-3,28,time3000,material,R*8b,400,5,1003606,3022.822,336,336
test-3,28,time3000,positional,R*8b,256,4,658626,3000.494,336,336
test-3,28,time3000,learned,R*8b,246,4,650119,3000.433,336,336
