root,group,offset,oldMove,finalMove,oldDepth,finalDepth,oldGapCp,finalGapCp,oldNodes,finalNodes
0,0,8,8h7g,8h7g,6,6,0,0,359334,411745
1,0,16,4h3i,4g4f,5,6,120,0,325403,388469
2,0,24,5f5e,5f5e,5,6,0,0,320068,402826
3,1,8,3g3f,3g3f,6,6,33,33,366542,394674
4,1,16,2e2d,2e2d,6,6,0,0,338388,379491
5,1,24,2d6h,2d6h,5,5,0,0,329964,385926
6,2,8,7g1a+,7g1a+,5,5,0,0,327342,391247
7,2,16,2e2d,2e2d,5,5,0,0,298743,359409
8,2,24,1c4f,1c4f,4,4,0,0,247618,366704
9,3,8,8h7g,8h7g,6,6,0,0,360708,392731
10,3,16,6i7h,6i7h,6,6,0,0,360066,389938
11,3,24,2i3g,2i3g,5,5,0,0,331365,404966
