phase,root,repeat,variant,elapsed_ms,nodes,q_generated_moves,q_avoided_generations
cycle1,0,0,v0.8,36.418,5041,,
cycle1,0,0,control,66.196,5041,308263,
cycle1,0,0,order,40.783,5041,308263,
cycle1,0,0,direct,44.733,5041,2379,
cycle1,0,0,cycle1,29.465,5041,2379,
cycle1,1,0,control,43.007,5176,334328,
cycle1,1,0,order,35.199,5176,334328,
cycle1,1,0,direct,38.396,5176,2249,
cycle1,1,0,cycle1,30.23,5176,2249,
cycle1,1,0,v0.8,35.995,5176,,
cycle1,2,0,order,58.518,7053,468923,
cycle1,2,0,direct,57.292,7053,6301,
cycle1,2,0,cycle1,67.096,7053,6301,
cycle1,2,0,v0.8,66.3,7053,,
cycle1,2,0,control,87.067,7053,468923,
cycle1,3,0,direct,50.159,6600,6350,
cycle1,3,0,cycle1,44.078,6600,6350,
cycle1,3,0,v0.8,54.258,6600,,
cycle1,3,0,control,56.484,6600,448607,
cycle1,3,0,order,55.784,6600,448607,
cycle1,4,0,cycle1,15.853,2853,6431,
cycle1,4,0,v0.8,17.917,2853,,
cycle1,4,0,control,19.018,2853,152624,
cycle1,4,0,order,36.916,2853,152624,
cycle1,4,0,direct,20.518,2853,6431,
cycle1,5,0,v0.8,22.2,3252,,
cycle1,5,0,control,28.923,3252,137871,
cycle1,5,0,order,24.657,3252,137871,
cycle1,5,0,direct,21.626,3252,3473,
cycle1,5,0,cycle1,20.04,3252,3473,
cycle1,6,0,control,114.078,10003,376482,
cycle1,6,0,order,65.035,10003,376482,
cycle1,6,0,direct,65.852,10003,18473,
cycle1,6,0,cycle1,56.099,10003,18473,
cycle1,6,0,v0.8,70.079,10003,,
cycle1,7,0,order,21.16,2703,137787,
cycle1,7,0,direct,14.746,2703,7117,
cycle1,7,0,cycle1,15.175,2703,7117,
cycle1,7,0,v0.8,17.694,2703,,
cycle1,7,0,control,24.367,2703,137787,
cycle1,0,1,control,38.159,5041,308263,
cycle1,0,1,order,45.413,5041,308263,
cycle1,0,1,direct,32.3,5041,2379,
cycle1,0,1,cycle1,28.235,5041,2379,
cycle1,0,1,v0.8,48.819,5041,,
cycle1,1,1,order,41.129,5176,334328,
cycle1,1,1,direct,30.177,5176,2249,
cycle1,1,1,cycle1,37.304,5176,2249,
cycle1,1,1,v0.8,43.512,5176,,
cycle1,1,1,control,109.382,5176,334328,
cycle1,2,1,direct,55.248,7053,6301,
cycle1,2,1,cycle1,39.353,7053,6301,
cycle1,2,1,v0.8,83.873,7053,,
cycle1,2,1,control,52.593,7053,468923,
cycle1,2,1,order,54.803,7053,468923,
cycle1,3,1,cycle1,45.389,6600,6350,
cycle1,3,1,v0.8,52.898,6600,,
cycle1,3,1,control,57.72,6600,448607,
cycle1,3,1,order,47.148,6600,448607,
cycle1,3,1,direct,42.633,6600,6350,
cycle1,4,1,v0.8,17.613,2853,,
cycle1,4,1,control,30.507,2853,152624,
cycle1,4,1,order,19.552,2853,152624,
cycle1,4,1,direct,15.884,2853,6431,
cycle1,4,1,cycle1,14.093,2853,6431,
cycle1,5,1,control,22.978,3252,137871,
cycle1,5,1,order,19.288,3252,137871,
cycle1,5,1,direct,17.726,3252,3473,
cycle1,5,1,cycle1,28.162,3252,3473,
cycle1,5,1,v0.8,24.749,3252,,
cycle1,6,1,order,60.354,10003,376482,
cycle1,6,1,direct,52.439,10003,18473,
cycle1,6,1,cycle1,46.521,10003,18473,
cycle1,6,1,v0.8,49.479,10003,,
cycle1,6,1,control,56.037,10003,376482,
cycle1,7,1,direct,31.059,2703,7117,
cycle1,7,1,cycle1,20.204,2703,7117,
cycle1,7,1,v0.8,28.152,2703,,
cycle1,7,1,control,17.474,2703,137787,
cycle1,7,1,order,16.767,2703,137787,
cycle1,0,2,order,42.516,5041,308263,
cycle1,0,2,direct,28.589,5041,2379,
cycle1,0,2,cycle1,35.479,5041,2379,
cycle1,0,2,v0.8,32.3,5041,,
cycle1,0,2,control,49.086,5041,308263,
cycle1,1,2,direct,30.698,5176,2249,
cycle1,1,2,cycle1,29.14,5176,2249,
cycle1,1,2,v0.8,36.117,5176,,
cycle1,1,2,control,35.316,5176,334328,
cycle1,1,2,order,31.934,5176,334328,
cycle1,2,2,cycle1,39.732,7053,6301,
cycle1,2,2,v0.8,45.492,7053,,
cycle1,2,2,control,50.579,7053,468923,
cycle1,2,2,order,56.543,7053,468923,
cycle1,2,2,direct,43.917,7053,6301,
cycle1,3,2,v0.8,46.053,6600,,
cycle1,3,2,control,44.09,6600,448607,
cycle1,3,2,order,44.367,6600,448607,
cycle1,3,2,direct,44.13,6600,6350,
cycle1,3,2,cycle1,50.327,6600,6350,
cycle1,4,2,control,22.98,2853,152624,
cycle1,4,2,order,15.86,2853,152624,
cycle1,4,2,direct,16.517,2853,6431,
cycle1,4,2,cycle1,15.269,2853,6431,
cycle1,4,2,v0.8,19.453,2853,,
cycle1,5,2,order,24.455,3252,137871,
cycle1,5,2,direct,19.047,3252,3473,
cycle1,5,2,cycle1,24.025,3252,3473,
cycle1,5,2,v0.8,20.065,3252,,
cycle1,5,2,control,21.405,3252,137871,
